iter	Passed	Remaining
411	2486	3549
412	2490	3539
413	2500	3538
414	2503	3528
415	2506	3519
416	2511	3511
417	2516	3503
418	2519	3493
419	2523	3484
420	2526	3474
421	2529	3464
422	2534	3457
423	2538	3448
424	2541	3438
425	2546	3431
426	2550	3422
427	2553	3412
428	2557	3404
429	2561	3395
430	2565	3386
431	2570	3379
432	2574	3371
433	2577	3361
434	2580	3352
435	2587	3346
436	2591	3339
437	2595	3329
438	2599	3322
439	2602	3312
440	2607	3305
441	2613	3299
442	2618	3292
443	2621	3283
444	2626	3275
445	2630	3267
446	2634	3258
447	2639	3252
448	2643	3244
449	2647	3235
450	2651	3227
451	2654	3218
452	2658	3209
453	2661	3200
454	2666	3194
455	2670	3185
456	2673	3176
457	2677	3168
458	2680	3159
459	2683	3149
460	2686	3140
461	2691	3134
462	2695	3126
463	2701	3120
464	2706	3114
465	2711	3107
466	2716	3100
467	2722	3095
468	2727	3087
469	2732	3081
470	2737	3075
471	2744	3070
472	2750	3064
473	2754	3056
474	2759	3050
475	2762	3041
476	2768	3035
477	2775	3031
478	2783	3027
479	2789	3021
480	2794	3015
481	2798	3007
482	2803	3000
483	2807	2993
484	2813	2987
485	2819	2981
486	2822	2973
487	2828	2967
488	2832	2959
489	2836	2951
490	2841	2945
491	2845	2938
492	2849	2930
493	2853	2923
494	2859	2917
495	2863	2909
496	2869	2904
497	2872	2895
498	2876	2887
499	2881	2881
500	2885	2874
501	2889	2866
502	2897	2862
503	2901	2855
504	2906	2848
505	2910	2841
506	2919	2839
507	2924	2832
508	2930	2827
509	2934	2819
510	2955	2828
511	2959	2820
512	2963	2813
513	2969	2807
514	2972	2799
515	2976	2792
516	2981	2784
517	2984	2777
518	2988	2769
519	2991	2761
520	2995	2753
521	2998	2745
522	3003	2739
523	3007	2731
524	3010	2723
525	3014	2716
526	3018	2709
527	3021	2701
528	3024	2693
529	3032	2688
530	3035	2680
531	3038	2672
532	3044	2667
533	3047	2659
534	3050	2650
535	3054	2644
536	3058	2636
537	3061	2629
538	3067	2623
539	3070	2615
540	3075	2609
541	3079	2602
542	3083	2594
543	3086	2587
544	3089	2579
545	3094	2573
546	3098	2565
547	3101	2558
548	3106	2551
549	3109	2544
550	3112	2536
551	3117	2530
552	3121	2522
553	3123	2514
554	3128	2508
555	3135	2503
556	3138	2496
557	3141	2488
558	3145	2481
559	3149	2474
560	3153	2467
561	3156	2460
562	3160	2453
563	3163	2445
564	3166	2437
565	3169	2430
566	3173	2423
567	3176	2416
568	3179	2408
569	3182	2401
570	3185	2393
571	3189	2386
572	3192	2379
573	3198	2373
574	3201	2366
575	3205	2359
576	3209	2352
577	3216	2348
578	3219	2340
579	3223	2334
580	3227	2327
581	3230	2320
582	3233	2312
583	3237	2306
584	3241	2299
585	3243	2291
586	3246	2284
587	3252	2278
588	3255	2271
589	3258	2264
590	3261	2257
591	3265	2250
592	3267	2242
593	3270	2235
594	3273	2228
595	3278	2222
596	3281	2215
597	3284	2208
598	3288	2201
599	3291	2194
600	3294	2187
601	3297	2180
602	3301	2173
603	3304	2166
604	3307	2159
605	3311	2152
606	3390	2194
607	3396	2189
608	3399	2182
609	3403	2175
610	3406	2168
611	3412	2163
612	3416	2156
613	3420	2150
614	3425	2144
615	3428	2137
616	3433	2131
617	3437	2125
618	3441	2118
619	3444	2111
620	3447	2104
621	3450	2097
622	3454	2090
623	3458	2084
624	3461	2077
625	3464	2070
626	3468	2063
627	3472	2056
628	3474	2049
629	3477	2042
630	3483	2037
631	3486	2030
632	3490	2023
633	3494	2017
634	3497	2010
635	3500	2003
636	3504	1996
637	3508	1990
638	3511	1984
639	3515	1977
640	3520	1971
641	3523	1964
642	3526	1957
643	3530	1951
644	3536	1946
645	3539	1939
646	3543	1933
647	3550	1928
648	3556	1923
649	3560	1917
650	3564	1910
651	3568	1904
652	3572	1898
653	3576	1892
654	3581	1886
655	3600	1888
656	3603	1881
657	3607	1875
658	3611	1868
659	3614	1862
660	3618	1855
661	3622	1849
662	3626	1843
663	3629	1836
664	3633	1830
665	3636	1823
666	3639	1817
667	3643	1810
668	3647	1804
669	3651	1798
670	3655	1792
671	3661	1787
672	3665	1780
673	3669	1774
674	3675	1769
675	3679	1763
676	3683	1757
677	3688	1751
678	3691	1745
679	3694	1738
680	3699	1732
681	3703	1726
682	3706	1720
683	3714	1715
684	3717	1709
685	3720	1702
686	3725	1697
687	3729	1691
688	3732	1684
689	3739	1679
690	3743	1673
691	3746	1667
692	3752	1662
693	3756	1656
694	3760	1650
695	3763	1644
696	3767	1637
697	3774	1632
698	3777	1626
699	3786	1622
700	3791	1617
701	3794	1610
702	3798	1604
703	3801	1598
704	3804	1591
705	3813	1588
706	3816	1581
707	3820	1575
708	3824	1569
709	3827	1563
710	3830	1556
711	3833	1550
712	3837	1544
713	3840	1538
714	3843	1532
715	3848	1526
716	3851	1520
717	3854	1513
718	3857	1507
719	3863	1502
720	3879	1501
721	3883	1495
722	3886	1488
723	3893	1484
724	3896	1477
725	3899	1471
726	3903	1465
727	3907	1459
728	3910	1453
729	3914	1447
730	3918	1441
731	3921	1435
732	3924	1429
733	3927	1423
734	3931	1417
735	3937	1412
736	3942	1406
737	3945	1400
738	3949	1394
739	3952	1388
740	3957	1383
741	3960	1377
742	3965	1371
743	3970	1366
744	3974	1360
745	3978	1354
746	3981	1348
747	3985	1342
748	3988	1336
749	3992	1330
750	3995	1324
751	3999	1318
752	4002	1313
753	4006	1307
754	4010	1301
755	4013	1295
756	4017	1289
757	4020	1283
758	4023	1277
759	4026	1271
760	4030	1265
761	4033	1259
762	4036	1253
763	4039	1247
764	4045	1242
765	4049	1237
766	4052	1231
767	4056	1225
768	4061	1219
769	4064	1213
770	4067	1208
771	4072	1202
772	4075	1196
773	4078	1190
774	4080	1184
775	4084	1178
776	4089	1173
777	4091	1167
778	4095	1161
779	4098	1156
780	4101	1150
781	4105	1144
782	4109	1138
783	4115	1133
784	4119	1128
785	4123	1122
786	4125	1116
787	4129	1111
788	4135	1105
789	4139	1100
790	4143	1094
791	4146	1089
792	4151	1083
793	4156	1078
794	4159	1072
795	4162	1066
796	4166	1061
797	4169	1055
798	4172	1049
799	4175	1043
800	4179	1038
801	4182	1032
802	4187	1027
803	4190	1021
804	4196	1016
805	4199	1010
806	4203	1005
807	4209	1000
808	4212	994
809	4215	988
810	4221	983
811	4226	978
812	4229	972
813	4236	968
814	4240	962
815	4249	958
